"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"15","80",8,1,277.1,209,172,290,154,246,15,342,17,17,1,2,1,"engaged",7,0,0.33,1,"under-sweep",1341.9,266.5,1327,4.415032217,2.6525,29.2725,1
"29","80",8,1,291.9,298.2,242,302,246,338,29,120,33,13,2,3,2,"lost",4,0.255813953,0.33,1,"under-sweep",1389.8,271.4,13974,5.437185959,3.0225,30.47,1
"69","80",11,2,288.4,183,171,348,154,246,23,102,16,NA,1,2,NA,"pictographs.",NA,NA,0.33,1,"under-sweep",1288.8,250.2,2,1.768955397,2.935,27.945,1
"87","80",11,2,270.55,295.25,171,302,246,338,41,128,32,16,1,3,2,"island's",8,0.3,0.33,1,"under-sweep",1376.25,259.9,230,3.655446122,2.48875,30.13125,1
"100","80",11,2,287.3,357.5,172,313,338,422,54,167,49,16,1,4,3,"existence",9,0.25,0.33,1,"under-sweep",1345.9,267.9,596,4.067808473,2.9075,29.3725,1
"125","80",10,3,268.9,188.4,173,289,154,246,15,325,20,9,1,2,2,"replied",7,0.024390244,0.33,1,"accurate",1272.4,354,59,3.069985393,2.4475,27.535,0
"139","80",10,3,289.9,280.4,172,302,246,330,29,304,41,5,1,3,3,"constant",8,0,0.33,1,"accurate",1350.8,353.5,506,3.996842101,2.9725,29.495,0
"176","80",55,4,286.55,182.85,172,254,154,246,23,121,17,17,1,2,1,"larger",4,0,0.33,1,"under-sweep",1329,244.2,418,3.914048165,2.88875,28.95,1
"191","80",55,4,282.8,310.9,171,278,246,338,38,121,35,11,1,3,2,"a",6,0.025641026,0.33,1,"under-sweep",1337.6,260.3,1041179,7.309359959,2.795,29.165,1
"205","80",55,4,390.3,380.6,172,313,338,422,52,211,53,29,1,4,2,"well-being",9,0,0.33,1,"accurate",290.7,443.6,10,2.333226827,5.4825,2.9925,0
"232","80",14,5,290.6,171.4,172,324,154,246,17,125,16,16,1,2,1,"snowstorm,",9,0.128205128,0.33,1,"under-sweep",1335.4,255.2,44,2.945046656,2.99,29.11,1
"245","80",14,5,275.2,317.3,172,302,246,338,30,133,34,6,1,3,2,"campaign",8,0,0.33,1,"under-sweep",1366.8,269,856,4.224814964,2.605,29.895,1
"260","80",14,5,285.4,383.6,242,381,338,418,45,268,53,25,2,4,2,"stranded.",8,0.025641026,0.33,1,"accurate",1400.2,333.5,153,3.479354863,2.86,30.73,0
"278","80",33,6,269.2,189.4,172,276,154,246,15,240,18,18,1,2,1,"scent.",5,0.047619048,0.33,1,"accurate",1353,338.8,304,3.776133981,2.455,29.55,0
"314","80",24,7,289.3,192.9,242,314,154,246,18,205,18,18,2,2,1,"doing",5,0.073170732,0.33,1,"under-sweep",1365.7,262.1,52492,6.011935536,2.9575,29.8675,1
"326","80",24,7,269.1,285.4,266,302,246,330,30,234,38,14,2,3,2,"of",2,0.384615385,0.33,1,"accurate",1267.2,341.6,590439,7.063009914,2.4525,27.405,0
"353","80",40,8,248.8,206.7,230,253,154,246,18,217,22,22,2,2,1,"a",1,0.052631579,0.33,1,"accurate",1335,331.9,1041179,7.309359959,1.945,29.1,0
"367","80",40,8,305.9,284.6,253,338,246,330,32,131,38,3,2,3,2,"police",6,0.026315789,0.33,1,"under-sweep",1329.6,276.1,12044,5.372640946,3.3725,28.965,1
"398","80",16,9,266.8,186.8,172,327,154,246,21,331,18,18,1,2,1,"laboratory",10,0,0.33,1,"accurate",1369.2,369.2,331,3.812972226,2.395,29.955,0
"410","80",16,9,297,281.1,230,302,246,338,33,131,31,6,2,3,2,"steam",5,0.076923077,0.33,1,"under-sweep",1334.4,261.4,686,4.128790879,3.15,29.085,1
"426","80",16,9,285.2,370.65,254,302,338,422,49,200,50,14,2,4,3,"for",3,0,0.33,1,"under-sweep",1413.4,266.2,351650,6.837945999,2.855,31.06,1
"450","80",31,10,256.3,212.9,172,278,154,246,19,319,18,18,1,2,1,"towels",6,0.925,0.33,1,"accurate",1378.9,326.9,484,3.977575881,2.1325,30.1975,0
