"","item","line","word","start","end","length","OVP","string"
"1",1,1,1,1,3,3,2,"The"
"2",1,1,2,5,9,5,7,"three"
"3",1,1,3,11,19,9,15,"musicians"
"4",1,1,4,21,29,9,25,"organised"
"5",1,1,5,31,31,1,31,"a"
"6",1,1,6,33,36,4,34,"tour"
"7",1,1,7,38,41,4,39,"last"
"8",1,1,8,43,46,4,44,"year"
"9",1,1,9,48,49,2,48,"to"
"10",1,1,10,51,54,4,52,"meet"
"11",1,2,1,1,5,5,3,"their"
"12",1,2,2,7,10,4,8,"fans"
"13",1,2,3,12,14,3,13,"and"
"14",1,2,4,16,24,9,20,"celebrate"
"15",1,2,5,26,28,3,27,"the"
"16",1,2,6,30,36,7,33,"release"
"17",1,2,7,38,39,2,38,"of"
"18",1,2,8,41,45,5,43,"their"
"19",1,2,9,47,49,3,48,"new"
"20",1,2,10,51,56,6,53,"studio"
"21",1,2,11,58,63,6,60,"album."
"22",2,1,1,1,5,5,3,"While"
"23",2,1,2,7,9,3,8,"the"
"24",2,1,3,11,16,6,13,"farmer"
"25",2,1,4,18,24,7,21,"steered"
"26",2,1,5,26,28,3,27,"the"
"27",2,1,6,30,37,8,33,"tractor,"
"28",2,1,7,39,41,3,40,"his"
"29",2,1,8,43,44,2,43,"17"
"30",2,1,9,46,49,4,47,"year"
"31",2,1,10,51,53,3,52,"old"
"32",2,2,1,1,3,3,2,"son"
"33",2,2,2,5,7,3,6,"was"
"34",2,2,3,9,12,4,10,"busy"
"35",2,2,4,14,20,7,17,"milking"
"36",2,2,5,22,24,3,23,"the"
"37",2,2,6,26,29,4,27,"cows"
"38",2,2,7,31,32,2,31,"in"
"39",2,2,8,34,36,3,35,"the"
"40",2,2,9,38,42,5,40,"barn."
"41",3,1,1,1,3,3,2,"The"
"42",3,1,2,5,9,5,7,"group"
"43",3,1,3,11,12,2,11,"of"
"44",3,1,4,14,21,8,17,"tourists"
"45",3,1,5,23,29,7,26,"flocked"
"46",3,1,6,31,32,2,31,"to"
"47",3,1,7,34,36,3,35,"the"
"48",3,1,8,38,41,4,39,"open"
"49",3,1,9,43,47,5,45,"field"
"50",3,1,10,49,53,5,51,"where"
"51",3,1,11,55,55,1,55,"a"
"52",3,2,1,1,5,5,3,"music"
"53",3,2,2,7,14,8,10,"festival"
"54",3,2,3,16,18,3,17,"was"
"55",3,2,4,20,24,5,22,"being"
"56",3,2,5,26,29,4,27,"held"
"57",3,2,6,31,33,3,32,"for"
"58",3,2,7,35,37,3,36,"the"
"59",3,2,8,39,43,5,41,"first"
"60",3,2,9,45,49,5,47,"time."
"61",4,1,1,1,3,3,2,"The"
"62",4,1,2,5,7,3,6,"two"
"63",4,1,3,9,16,8,12,"youngest"
"64",4,1,4,18,24,7,21,"sisters"
"65",4,1,5,26,31,6,28,"played"
"66",4,1,6,33,35,3,34,"and"
"67",4,1,7,37,43,7,40,"laughed"
"68",4,1,8,45,46,2,45,"in"
"69",4,1,9,48,50,3,49,"the"
"70",4,1,10,52,54,3,53,"sun"
"71",4,2,1,1,2,2,1,"as"
"72",4,2,2,4,7,4,5,"they"
"73",4,2,3,9,15,7,12,"enjoyed"
"74",4,2,4,17,19,3,18,"the"
"75",4,2,5,21,24,4,22,"last"
"76",4,2,6,26,29,4,27,"days"
"77",4,2,7,31,32,2,31,"of"
"78",4,2,8,34,40,7,37,"summer."
"79",5,1,1,1,3,3,2,"The"
"80",5,1,2,5,7,3,6,"two"
"81",5,1,3,9,15,7,12,"ancient"
"82",5,1,4,17,22,6,19,"graves"
"83",5,1,5,24,27,4,25,"were"
"84",5,1,6,29,35,7,32,"located"
"85",5,1,7,37,38,2,37,"in"
"86",5,1,8,40,42,3,41,"the"
"87",5,1,9,44,46,3,45,"old"
"88",5,1,10,48,55,8,51,"cemetery"
"89",5,2,1,1,5,5,3,"where"
"90",5,2,2,7,10,4,8,"some"
"91",5,2,3,12,13,2,12,"of"
"92",5,2,4,15,17,3,16,"the"
"93",5,2,5,19,25,7,22,"tallest"
"94",5,2,6,27,31,5,29,"trees"
"95",5,2,7,33,37,5,35,"could"
"96",5,2,8,39,40,2,39,"be"
"97",5,2,9,42,47,6,44,"found."
