"","item","line","word","start","end","length","OVP","string"
"1",2,1,1,1,7,7,4,"Dorothy"
"2",2,1,2,9,10,2,9,"is"
"3",2,1,3,12,12,1,12,"a"
"4",2,1,4,14,19,6,16,"little"
"5",2,1,5,21,26,6,23,"Kansas"
"6",2,1,6,28,31,4,29,"girl"
"7",2,1,7,33,35,3,34,"who"
"8",2,1,8,37,40,4,38,"once"
"9",2,1,9,42,53,12,47,"accidentally"
"10",2,1,10,55,59,5,57,"found"
"11",2,1,11,61,63,3,62,"the"
"12",2,2,1,1,9,9,5,"beautiful"
"13",2,2,2,11,14,4,12,"Land"
"14",2,2,3,16,17,2,16,"of"
"15",2,2,4,19,20,2,19,"Oz"
"16",2,2,5,22,24,3,23,"and"
"17",2,2,6,26,28,3,27,"was"
"18",2,2,7,30,36,7,33,"invited"
"19",2,2,8,38,39,2,38,"to"
"20",2,2,9,41,44,4,42,"live"
"21",2,2,10,46,50,5,48,"there"
"22",2,2,11,52,58,7,55,"always."
"23",2,2,12,60,63,4,61,"Toto"
"24",2,2,13,65,67,3,66,"was"
"25",2,3,1,1,9,9,5,"Dorothy's"
"26",2,3,2,11,15,5,13,"small"
"27",2,3,3,17,21,5,19,"black"
"28",2,3,4,23,26,4,24,"dog,"
"29",2,3,5,28,31,4,29,"with"
"30",2,3,6,33,38,6,35,"fuzzy,"
"31",2,3,7,40,44,5,42,"curly"
"32",2,3,8,46,49,4,47,"hair"
"33",2,3,9,51,53,3,52,"and"
"34",2,3,10,55,60,6,57,"bright"
"35",2,3,11,62,66,5,64,"black"
"36",2,4,1,1,5,5,3,"eyes."
"37",2,4,2,7,15,9,11,"Together,"
"38",2,4,3,17,20,4,18,"when"
"39",2,4,4,22,25,4,23,"they"
"40",2,4,5,27,31,5,29,"tired"
"41",2,4,6,33,34,2,33,"of"
"42",2,4,7,36,38,3,37,"the"
"43",2,4,8,40,47,8,43,"grandeur"
"44",2,4,9,49,50,2,49,"of"
"45",2,4,10,52,54,3,53,"the"
"46",2,4,11,56,62,7,59,"Emerald"
"47",2,4,12,64,67,4,65,"City"
"48",2,4,13,69,70,2,69,"of"
"49",2,5,1,1,3,3,2,"Oz,"
"50",2,5,2,5,8,4,6,"they"
"51",2,5,3,10,14,5,12,"would"
"52",2,5,4,16,21,6,18,"wander"
"53",2,5,5,23,25,3,24,"out"
"54",2,5,6,27,30,4,28,"into"
"55",2,5,7,32,34,3,33,"the"
"56",2,5,8,36,42,7,39,"country"
"57",2,5,9,44,46,3,45,"and"
"58",2,5,10,48,50,3,49,"all"
"59",2,5,11,52,58,7,55,"through"
"60",2,5,12,60,62,3,61,"the"
"61",2,5,13,64,68,5,66,"land,"
"62",2,6,1,1,7,7,4,"peering"
"63",2,6,2,9,12,4,10,"into"
"64",2,6,3,14,18,5,16,"queer"
"65",2,6,4,20,24,5,22,"nooks"
"66",2,6,5,26,28,3,27,"and"
"67",2,6,6,30,36,7,33,"corners"
"68",2,6,7,38,40,3,39,"and"
"69",2,6,8,42,47,6,44,"having"
"70",2,6,9,49,49,1,49,"a"
"71",2,6,10,51,54,4,52,"good"
"72",2,6,11,56,59,4,57,"time"
"73",2,6,12,61,62,2,61,"in"
"74",2,6,13,64,68,5,66,"their"
"75",2,7,1,1,3,3,2,"own"
"76",2,7,2,5,10,6,7,"simple"
"77",2,7,3,12,15,4,13,"way."
"78",2,7,4,17,21,5,19,"There"
"79",2,7,5,23,25,3,24,"was"
"80",2,7,6,27,27,1,27,"a"
"81",2,7,7,29,34,6,31,"little"
"82",2,7,8,36,41,6,38,"Wizard"
"83",2,7,9,43,48,6,45,"living"
"84",2,7,10,50,51,2,50,"in"
"85",2,7,11,53,54,2,53,"Oz"
"86",2,7,12,56,58,3,57,"who"
"87",2,7,13,60,62,3,61,"was"
"88",2,7,14,64,64,1,64,"a"
"89",2,8,1,1,8,8,4,"faithful"
"90",2,8,2,10,15,6,12,"friend"
"91",2,8,3,17,18,2,17,"of"
"92",2,8,4,20,26,7,23,"Dorothy"
"93",2,8,5,28,30,3,29,"and"
"94",2,8,6,32,34,3,33,"did"
"95",2,8,7,36,38,3,37,"not"
"96",2,8,8,40,46,7,43,"approve"
"97",2,8,9,48,49,2,48,"of"
"98",2,8,10,51,53,3,52,"her"
"99",2,8,11,55,64,10,59,"travelling"
"100",2,8,12,66,70,5,68,"alone"
"101",2,9,1,1,2,2,1,"in"
"102",2,9,2,4,7,4,5,"this"
"103",2,9,3,9,12,4,10,"way,"
"104",2,9,4,14,16,3,15,"but"
"105",2,9,5,18,20,3,19,"the"
"106",2,9,6,22,25,4,23,"girl"
"107",2,9,7,27,32,6,29,"always"
"108",2,9,8,34,40,7,37,"laughed"
"109",2,9,9,42,43,2,42,"at"
"110",2,9,10,45,47,3,46,"the"
"111",2,9,11,49,54,6,51,"little"
"112",2,9,12,56,60,5,58,"man's"
"113",2,9,13,62,66,5,64,"fears"
"114",2,9,14,68,70,3,69,"for"
"115",2,10,1,1,3,3,2,"her"
"116",2,10,2,5,7,3,6,"and"
"117",2,10,3,9,12,4,10,"said"
"118",2,10,4,14,16,3,15,"she"
"119",2,10,5,18,20,3,19,"was"
"120",2,10,6,22,24,3,23,"not"
"121",2,10,7,26,31,6,28,"afraid"
"122",2,10,8,33,34,2,33,"of"
"123",2,10,9,36,43,8,39,"anything"
"124",2,10,10,45,48,4,46,"that"
"125",2,10,11,50,54,5,52,"might"
"126",2,10,12,56,62,7,59,"happen."
"127",3,1,1,1,3,3,2,"One"
"128",3,1,2,5,7,3,6,"day"
"129",3,1,3,9,13,5,11,"while"
"130",3,1,4,15,16,2,15,"on"
"131",3,1,5,18,21,4,19,"such"
"132",3,1,6,23,23,1,23,"a"
"133",3,1,7,25,32,8,28,"journey,"
"134",3,1,8,34,40,7,37,"Dorothy"
"135",3,1,9,42,44,3,43,"and"
"136",3,1,10,46,49,4,47,"Toto"
"137",3,1,11,51,55,5,53,"found"
"138",3,1,12,57,66,10,61,"themselves"
"139",3,2,1,1,5,5,3,"among"
"140",3,2,2,7,9,3,8,"the"
"141",3,2,3,11,14,4,12,"wild"
"142",3,2,4,16,21,6,18,"wooded"
"143",3,2,5,23,27,5,25,"hills"
"144",3,2,6,29,30,2,29,"at"
"145",3,2,7,32,34,3,33,"the"
"146",3,2,8,36,44,9,40,"southeast"
"147",3,2,9,46,47,2,46,"of"
"148",3,2,10,49,53,5,51,"Oz--a"
"149",3,2,11,55,59,5,57,"place"
"150",3,2,12,61,67,7,64,"usually"
"151",3,3,1,1,7,7,4,"avoided"
"152",3,3,2,9,10,2,9,"by"
"153",3,3,3,12,21,10,16,"travellers"
"154",3,3,4,23,29,7,26,"because"
"155",3,3,5,31,32,2,31,"so"
"156",3,3,6,34,37,4,35,"many"
"157",3,3,7,39,45,7,42,"magical"
"158",3,3,8,47,52,6,49,"things"
"159",3,3,9,54,61,8,57,"abounded"
"160",3,3,10,63,68,6,65,"there."
"161",3,4,1,1,4,4,2,"And,"
"162",3,4,2,6,7,2,6,"as"
"163",3,4,3,9,12,4,10,"they"
"164",3,4,4,14,20,7,17,"entered"
"165",3,4,5,22,22,1,22,"a"
"166",3,4,6,24,29,6,26,"forest"
"167",3,4,7,31,35,5,33,"path,"
"168",3,4,8,37,39,3,38,"the"
"169",3,4,9,41,46,6,43,"little"
"170",3,4,10,48,51,4,49,"girl"
"171",3,4,11,53,59,7,56,"noticed"
"172",3,4,12,61,61,1,61,"a"
"173",3,4,13,63,66,4,64,"sign"
"174",3,5,1,1,6,6,3,"tacked"
"175",3,5,2,8,9,2,8,"to"
"176",3,5,3,11,11,1,11,"a"
"177",3,5,4,13,17,5,15,"tree,"
"178",3,5,5,19,23,5,21,"which"
"179",3,5,6,25,29,5,27,"said:"
"180",3,5,7,31,35,5,33,"'Look"
"181",3,5,8,37,39,3,38,"out"
"182",3,5,9,41,43,3,42,"for"
"183",3,5,10,45,55,11,50,"Crinklink.'"
"184",3,6,1,1,4,4,2,"Toto"
"185",3,6,2,6,10,5,8,"could"
"186",3,6,3,12,14,3,13,"not"
"187",3,6,4,16,20,5,18,"talk,"
"188",3,6,5,22,23,2,22,"as"
"189",3,6,6,25,28,4,26,"many"
"190",3,6,7,30,31,2,30,"of"
"191",3,6,8,33,35,3,34,"the"
"192",3,6,9,37,43,7,40,"animals"
"193",3,6,10,45,46,2,45,"of"
"194",3,6,11,48,49,2,48,"Oz"
"195",3,6,12,51,54,4,52,"can,"
"196",3,6,13,56,58,3,57,"for"
"197",3,6,14,60,61,2,60,"he"
"198",3,6,15,63,65,3,64,"was"
"199",3,7,1,1,4,4,2,"just"
"200",3,7,2,6,6,1,6,"a"
"201",3,7,3,8,13,6,10,"common"
"202",3,7,4,15,20,6,17,"Kansas"
